target,best_lambda,cv_mse,train_mse,test_mse
ldl_only,62.10169418915616,3.6363937022398445,3.506890283781708,2.1687744756494665
sbp_only,108.2636733874054,360.1631050502627,348.82686316688057,305.67046209672566
joint_ldl_sbp,108.2636733874054,181.3514917527564,176.17937065633933,153.3564708123819
