fold,mse
1,2.8038406390329333
2,4.231341759721788
3,5.703014070313506
4,2.577594177280638
5,5.775870841506948
6,5.032508498455388
7,3.5277952634331986
8,4.751017410599433
9,4.9111005223491375
10,3.5997934250988872
