outer_fold,h,alpha,inner_cv_mse
10,2,10.0,407.83014811454586
10,2,100.0,404.0528301261151
10,4,0.0001,437.55996481028785
10,4,0.001,437.56145088494156
10,4,0.01,438.1036392743874
10,4,0.1,437.5257515892088
10,4,1.0,437.1473788523993
10,4,10.0,433.9177061762695
10,4,100.0,413.7642667756958
10,8,0.0001,430.0488785813624
10,8,0.001,430.25899146379527
10,8,0.01,430.41528772680806
10,8,0.1,434.64395381302285
10,8,1.0,438.3306572459711
10,8,10.0,429.7405042648491
10,8,100.0,415.2739947795393
10,12,0.0001,497.4729562662046
10,12,0.001,492.5878266316073
10,12,0.01,496.0204529326743
10,12,0.1,498.34390053432435
10,12,1.0,487.40979106757015
10,12,10.0,501.8616831975338
10,12,100.0,459.82642991919795
10,16,0.0001,481.52088708287283
10,16,0.001,479.9489371688589
10,16,0.01,481.5176340807764
10,16,0.1,481.47015925298047
10,16,1.0,478.0582137081166
10,16,10.0,467.71136100176057
10,16,100.0,422.3654063911769
10,20,0.0001,466.1248571078087
10,20,0.001,462.8676310156043
10,20,0.01,466.08714236756293
10,20,0.1,462.3900840714367
10,20,1.0,456.3438758407119
10,20,10.0,446.0965031452559
10,20,100.0,402.0296203836282
10,24,0.0001,475.9863544421284
10,24,0.001,474.6174049838704
10,24,0.01,473.5379101824581
10,24,0.1,473.6970239312667
10,24,1.0,479.32331274967635
10,24,10.0,486.5728681031501
10,24,100.0,424.6682047798969
