fold,mse
1,424.7886952681271
2,497.5023688087392
3,379.8050007939124
4,260.15089938215516
5,447.62622579069654
6,453.59352865923273
7,570.0493270838695
8,309.4578633505919
9,399.89240753432927
10,483.5105308962567
