fold,accuracy
1,0.6382978723404256
2,0.6382978723404256
3,0.6521739130434783
4,0.6521739130434783
5,0.6304347826086957
6,0.7391304347826086
7,0.7391304347826086
8,0.6521739130434783
9,0.5434782608695652
10,0.6521739130434783
