outer_fold,h,alpha,inner_cv_error
6,2,1e-05,0.6227061556329849
6,2,0.0001,0.6227061556329849
6,2,0.001,0.6227061556329849
6,2,0.01,0.6227061556329849
6,2,0.1,0.6227061556329849
6,2,1.0,0.6227061556329849
6,4,1e-06,0.5913472706155634
6,4,1e-05,0.5913472706155634
6,4,0.0001,0.5913472706155634
6,4,0.001,0.5913472706155634
6,4,0.01,0.5913472706155634
6,4,0.1,0.5596399535423926
6,4,1.0,0.574274099883856
6,8,1e-06,0.35853658536585375
6,8,1e-05,0.35853658536585375
6,8,0.0001,0.35853658536585375
6,8,0.001,0.35853658536585375
6,8,0.01,0.35853658536585375
6,8,0.1,0.35853658536585375
6,8,1.0,0.35853658536585375
6,12,1e-06,0.3703832752613241
6,12,1e-05,0.3703832752613241
6,12,0.0001,0.3703832752613241
6,12,0.001,0.3703832752613241
6,12,0.01,0.3703832752613241
6,12,0.1,0.3680023228803717
6,12,1.0,0.3653890824622532
6,16,1e-06,0.36022067363530785
6,16,1e-05,0.36022067363530785
6,16,0.0001,0.36022067363530785
6,16,0.001,0.36022067363530785
6,16,0.01,0.36022067363530785
6,16,0.1,0.36022067363530785
6,16,1.0,0.35551684088269453
6,24,1e-06,0.31463414634146347
6,24,1e-05,0.31463414634146347
6,24,0.0001,0.31463414634146347
6,24,0.001,0.31463414634146347
6,24,0.01,0.31463414634146347
6,24,0.1,0.31701509872241584
6,24,1.0,0.31945412311265975
7,1,1e-06,0.6610336817653891
7,1,1e-05,0.6610336817653891
7,1,0.0001,0.6610336817653891
7,1,0.001,0.6610336817653891
7,1,0.01,0.6610336817653891
7,1,0.1,0.6610336817653891
7,1,1.0,0.6610336817653891
7,2,1e-06,0.6323461091753775
7,2,1e-05,0.6323461091753775
7,2,0.0001,0.6323461091753775
7,2,0.001,0.6323461091753775
7,2,0.01,0.6323461091753775
7,2,0.1,0.6323461091753775
7,2,1.0,0.6323461091753775
7,4,1e-06,0.629732868757259
7,4,1e-05,0.629732868757259
7,4,0.0001,0.629732868757259
7,4,0.001,0.629732868757259
7,4,0.01,0.629732868757259
7,4,0.1,0.629732868757259
7,4,1.0,0.6321718931475029
7,8,1e-06,0.3440766550522649
7,8,1e-05,0.3440766550522649
7,8,0.0001,0.3440766550522649
7,8,0.001,0.3440766550522649
7,8,0.01,0.3440766550522649
7,8,0.1,0.3440766550522649
7,8,1.0,0.3440766550522649
7,12,1e-06,0.3558652729384437
7,12,1e-05,0.3558652729384437
7,12,0.0001,0.3558652729384437
7,12,0.001,0.3558652729384437
7,12,0.01,0.3558652729384437
7,12,0.1,0.3582462253193961
7,12,1.0,0.36306620209059237
7,16,1e-06,0.3627177700348432
7,16,1e-05,0.3627177700348432
7,16,0.0001,0.3627177700348432
7,16,0.001,0.3627177700348432
7,16,0.01,0.3627177700348432
7,16,0.1,0.35534262485481993
7,16,1.0,0.367595818815331
7,24,1e-06,0.2855400696864112
7,24,1e-05,0.2855400696864112
7,24,0.0001,0.2855400696864112
7,24,0.001,0.2855400696864112
7,24,0.01,0.2855400696864112
7,24,0.1,0.2855400696864112
7,24,1.0,0.29268292682926833
8,1,1e-06,0.6586527293844368
8,1,1e-05,0.6586527293844368
8,1,0.0001,0.6586527293844368
8,1,0.001,0.6586527293844368
8,1,0.01,0.6586527293844368
8,1,0.1,0.6586527293844368
8,1,1.0,0.6586527293844368
8,2,1e-06,0.6275261324041812
8,2,1e-05,0.6275261324041812
8,2,0.0001,0.6275261324041812
8,2,0.001,0.6275261324041812
8,2,0.01,0.6275261324041812
8,2,0.1,0.6275261324041812
8,2,1.0,0.6275261324041812
8,4,1e-06,0.6271196283391406
8,4,1e-05,0.6271196283391406
8,4,0.0001,0.6271196283391406
8,4,0.001,0.6271196283391406
8,4,0.01,0.6271196283391406
8,4,0.1,0.6271196283391406
8,4,1.0,0.6271196283391406
8,8,1e-06,0.36579558652729394
8,8,1e-05,0.36579558652729394
8,8,0.0001,0.36579558652729394
8,8,0.001,0.36579558652729394
8,8,0.01,0.36579558652729394
8,8,0.1,0.36335656213705003
8,8,1.0,0.36335656213705003
8,12,1e-06,0.3680023228803717
8,12,1e-05,0.3680023228803717
8,12,0.0001,0.3680023228803717
8,12,0.001,0.3680023228803717
8,12,0.01,0.3680023228803717
8,12,0.1,0.3680023228803717
8,12,1.0,0.38263646922183514
8,16,1e-06,0.34866434378629496
8,16,1e-05,0.34866434378629496
8,16,0.0001,0.34866434378629496
8,16,0.001,0.34866434378629496
8,16,0.01,0.34866434378629496
8,16,0.1,0.35104529616724733
8,16,1.0,0.34616724738675964
8,24,1e-06,0.36602787456446007
8,24,1e-05,0.36602787456446007
8,24,0.0001,0.36602787456446007
8,24,0.001,0.36602787456446007
8,24,0.01,0.36602787456446007
8,24,0.1,0.36602787456446007
8,24,1.0,0.36364692218350747
9,1,1e-06,0.6515098722415795
9,1,1e-05,0.6515098722415795
9,1,0.0001,0.6515098722415795
9,1,0.001,0.6515098722415795
9,1,0.01,0.6515098722415795
9,1,0.1,0.6515098722415795
9,1,1.0,0.6515098722415795
9,2,1e-06,0.6251451800232288
9,2,1e-05,0.6251451800232288
9,2,0.0001,0.6251451800232288
9,2,0.001,0.6251451800232288
9,2,0.01,0.6251451800232288
9,2,0.1,0.6251451800232288
9,2,1.0,0.6251451800232288
9,4,1e-06,0.5605691056910569
9,4,1e-05,0.5605691056910569
9,4,0.0001,0.5605691056910569
9,4,0.001,0.5605691056910569
9,4,0.01,0.5605691056910569
9,4,0.1,0.5581881533101045
9,4,1.0,0.5581881533101045
9,8,1e-06,0.35615563298490127
9,8,1e-05,0.35615563298490127
9,8,0.0001,0.35615563298490127
9,8,0.001,0.35615563298490127
9,8,0.01,0.35615563298490127
9,8,0.1,0.35615563298490127
9,8,1.0,0.35609756097560985
9,12,1e-06,0.3558652729384437
9,12,1e-05,0.3558652729384437
9,12,0.0001,0.3558652729384437
9,12,0.001,0.3558652729384437
9,12,0.01,0.3558652729384437
9,12,0.1,0.3677700348432056
9,12,1.0,0.37015098722415796
9,16,1e-06,0.3509872241579559
9,16,1e-05,0.3509872241579559
9,16,0.0001,0.3509872241579559
9,16,0.001,0.3509872241579559
9,16,0.01,0.3509872241579559
9,16,0.1,0.3509872241579559
9,16,1.0,0.35104529616724744
9,24,1e-06,0.30296167247386774
9,24,1e-05,0.30296167247386774
9,24,0.0001,0.30296167247386774
9,24,0.001,0.30296167247386774
9,24,0.01,0.30058072009291537
9,24,0.1,0.3006387921022069
9,24,1.0,0.2909407665505228
10,1,1e-06,0.6491289198606272
10,1,1e-05,0.6491289198606272
10,1,0.0001,0.6491289198606272
10,1,0.001,0.6491289198606272
10,1,0.01,0.6491289198606272
10,1,0.1,0.6491289198606272
10,1,1.0,0.6491289198606272
10,2,1e-06,0.6203832752613241
10,2,1e-05,0.6203832752613241
10,2,0.0001,0.6203832752613241
10,2,0.001,0.6203832752613241
10,2,0.01,0.6203832752613241
10,2,0.1,0.6203832752613241
10,2,1.0,0.6203832752613241
10,4,1e-06,0.6368176538908247
10,4,1e-05,0.6368176538908247
10,4,0.0001,0.6368176538908247
10,4,0.001,0.6368176538908247
10,4,0.01,0.6368176538908247
10,4,0.1,0.6368176538908247
10,4,1.0,0.6368176538908247
10,8,1e-06,0.3585946573751453
10,8,1e-05,0.3585946573751453
10,8,0.0001,0.3585946573751453
10,8,0.001,0.3585946573751453
10,8,0.01,0.3585946573751453
10,8,0.1,0.3585946573751453
10,8,1.0,0.35853658536585375
10,12,1e-06,0.3507549361207898
10,12,1e-05,0.3507549361207898
10,12,0.0001,0.3507549361207898
10,12,0.001,0.3507549361207898
10,12,0.01,0.3507549361207898
10,12,0.1,0.3507549361207898
10,12,1.0,0.3629500580720093
10,16,1e-06,0.3196864111498259
10,16,1e-05,0.3196864111498259
10,16,0.0001,0.3196864111498259
10,16,0.001,0.3196864111498259
10,16,0.01,0.3196864111498259
10,16,0.1,0.3196864111498259
10,16,1.0,0.34343786295005807
10,24,1e-06,0.32677119628339146
10,24,1e-05,0.32677119628339146
10,24,0.0001,0.32677119628339146
10,24,0.001,0.32677119628339146
10,24,0.01,0.32677119628339146
10,24,0.1,0.32677119628339146
10,24,1.0,0.32677119628339146
