lambda,fold,mse
0.0001,1,5.834174948319379
0.0001,2,7.073516373189475
0.0001,3,2.7944304961959925
0.0001,4,3.342160438074168
0.0001,5,3.2780847586057678
0.0001,6,2.093856755804881
0.0001,7,2.377768099993182
0.0001,8,2.8961175804271377
0.0001,9,3.9953826078955563
0.0001,10,2.8715897979464544
0.00017433288221999874,1,5.834175129373368
0.00017433288221999874,2,7.073515616997869
0.00017433288221999874,3,2.794430528016983
0.00017433288221999874,4,3.342160408935775
0.00017433288221999874,5,3.278084592701748
0.00017433288221999874,6,2.093856685311416
0.00017433288221999874,7,2.377768099309695
0.00017433288221999874,8,2.8961176255646666
0.00017433288221999874,9,3.995382506976443
0.00017433288221999874,10,2.8715898780328812
0.0003039195382313198,1,5.83417544500925
0.0003039195382313198,2,7.073514298712984
0.0003039195382313198,3,2.7944305834913927
0.0003039195382313198,4,3.3421603581384227
0.0003039195382313198,5,3.278084303477583
0.0003039195382313198,6,2.0938565624186514
0.0003039195382313198,7,2.377768098117871
0.0003039195382313198,8,2.8961177042541513
0.0003039195382313198,9,3.9953823310423764
0.0003039195382313198,10,2.871590017649998
0.0005298316906283707,1,5.834175995264078
0.0005298316906283707,2,7.073512000526385
0.0005298316906283707,3,2.7944306802014056
0.0005298316906283707,4,3.3421602695833017
0.0005298316906283707,5,3.278083799268094
0.0005298316906283707,6,2.0938563481777437
0.0005298316906283707,7,2.3777680960392797
0.0005298316906283707,8,2.8961178414355864
0.0005298316906283707,9,3.9953820243348988
0.0005298316906283707,10,2.871590261048963
0.0009236708571873865,1,5.834176954532192
0.0009236708571873865,2,7.073507994084435
0.0009236708571873865,3,2.7944308487983816
0.0009236708571873865,4,3.3421601152067653
0.0009236708571873865,5,3.27808292027528
0.0009236708571873865,6,2.093855974690236
0.0009236708571873865,7,2.3777680924130267
0.0009236708571873865,8,2.8961180805872884
0.0009236708571873865,9,3.995381489653396
0.0009236708571873865,10,2.8715906853746826
0.0016102620275609393,1,5.834178626830698
0.0016102620275609393,2,7.073501009699749
0.0016102620275609393,3,2.794431142717199
0.0016102620275609393,4,3.3421598460903277
0.0016102620275609393,5,3.2780813879325414
0.0016102620275609393,6,2.0938553235934103
0.0016102620275609393,7,2.377768086083418
0.0016102620275609393,8,2.896118497505375
0.0016102620275609393,9,3.995380557559576
0.0016102620275609393,10,2.871591425117851
0.0028072162039411755,1,5.834181542132324
0.0028072162039411755,2,7.073488834110009
0.0028072162039411755,3,2.794431655110857
0.0028072162039411755,4,3.3421593769702698
0.0028072162039411755,5,3.2780787166487824
0.0028072162039411755,6,2.093854188562254
0.0028072162039411755,7,2.3777680750249464
0.0028072162039411755,8,2.896119224324715
0.0028072162039411755,9,3.995378932710374
0.0028072162039411755,10,2.8715927147453253
0.004893900918477494,1,5.834186624265477
0.004893900918477494,2,7.073467609540695
0.004893900918477494,3,2.7944325483708803
0.004893900918477494,4,3.3421585592563963
0.004893900918477494,5,3.2780740600069627
0.004893900918477494,6,2.0938522099655907
0.004893900918477494,7,2.377768055673819
0.004893900918477494,8,2.896120491391649
0.004893900918477494,9,3.99537610035815
0.004893900918477494,10,2.8715949630261948
0.008531678524172814,1,5.834195483498448
0.008531678524172814,2,7.0734306126564395
0.008531678524172814,3,2.7944341055845814
0.008531678524172814,4,3.3421571340666922
0.008531678524172814,5,3.2780659428125434
0.008531678524172814,6,2.0938487610338665
0.008531678524172814,7,2.377768021717894
0.008531678524172814,8,2.8961227002507335
0.008531678524172814,9,3.9953711635309768
0.008531678524172814,10,2.871598882628801
0.014873521072935119,1,5.834210926242857
0.014873521072935119,2,7.073366128652331
0.014873521072935119,3,2.794436820222093
0.014873521072935119,4,3.342154650569424
0.014873521072935119,5,3.2780517944972716
0.014873521072935119,6,2.0938427496663103
0.014873521072935119,7,2.377767961851379
0.014873521072935119,8,2.896126550850598
